64855,"DTCs - B2, Previously Active",DM49,,2.3,3040,Flash Amber Warning Lamp (AWL),
64855,"DTCs - B2, Previously Active",DM49,,2.5,3039,Flash Red Stop Lamp (RSL),
64855,"DTCs - B2, Previously Active",DM49,,2.7,3038,Flash Malfunction Indicator Lamp,
64855,"DTCs - B2, Previously Active",DM49,,3,1214,Suspect Parameter Number,
64855,"DTCs - B2, Previously Active",DM49,,5,1215,Failure Mode Identifier,
64855,"DTCs - B2, Previously Active",DM49,,6,1216,Occurrence Count,
64855,"DTCs - B2, Previously Active",DM49,,6.8,1706,SPN Conversion Method,

64856,"DTCs - B2, Confirmed and Active",DM48,,1.1,987,Protect Lamp,
64856,"DTCs - B2, Confirmed and Active",DM48,,1.3,624,Amber Warning Lamp,
64856,"DTCs - B2, Confirmed and Active",DM48,,1.5,623,Red Stop Lamp,
64856,"DTCs - B2, Confirmed and Active",DM48,,1.7,1213,Malfunction Indicator Lamp,
64856,"DTCs - B2, Confirmed and Active",DM48,,2.1,3041,Flash Protect Lamp,
64856,"DTCs - B2, Confirmed and Active",DM48,,2.3,3040,Flash Amber Warning Lamp (AWL),
64856,"DTCs - B2, Confirmed and Active",DM48,,2.5,3039,Flash Red Stop Lamp (RSL),
64856,"DTCs - B2, Confirmed and Active",DM48,,2.7,3038,Flash Malfunction Indicator Lamp,
64856,"DTCs - B2, Confirmed and Active",DM48,,3,1214,Suspect Parameter Number,
64856,"DTCs - B2, Confirmed and Active",DM48,,5,1215,Failure Mode Identifier,
64856,"DTCs - B2, Confirmed and Active",DM48,,6,1216,Occurrence Count,
64856,"DTCs - B2, Confirmed and Active",DM48,,6.8,1706,SPN Conversion Method,

64857,"DTCs - B2, Pending",DM47,,1.1,987,Protect Lamp,
64857,"DTCs - B2, Pending",DM47,,1.3,624,Amber Warning Lamp,
64857,"DTCs - B2, Pending",DM47,,1.5,623,Red Stop Lamp,
64857,"DTCs - B2, Pending",DM47,,1.7,1213,Malfunction Indicator Lamp,
64857,"DTCs - B2, Pending",DM47,,2.1,3041,Flash Protect Lamp,
64857,"DTCs - B2, Pending",DM47,,2.3,3040,Flash Amber Warning Lamp (AWL),
64857,"DTCs - B2, Pending",DM47,,2.5,3039,Flash Red Stop Lamp (RSL),
64857,"DTCs - B2, Pending",DM47,,2.7,3038,Flash Malfunction Indicator Lamp,
64857,"DTCs - B2, Pending",DM47,,3,1214,Suspect Parameter Number,
64857,"DTCs - B2, Pending",DM47,,5,1215,Failure Mode Identifier,
64857,"DTCs - B2, Pending",DM47,,6,1216,Occurrence Count,
